partner,partner_id,produkt_id,produkt_name,kategorie,provision_typ,provision_wert,waehrung,laufzeit,bemerkung,quelle,tracking_info,status,updated_at
Amazon,uniquetshir0f-21,AMZ_0,Amazon Fashion Eigenmarken,Fashion,%,6.0,%,,,Amazon PartnerNet,StoreID: uniquetshir0f-21,ACTIVE,2026-07-07
Amazon,uniquetshir0f-21,AMZ_1,Bekleidung & Accessoires,Fashion,%,6.0,%,,,Amazon PartnerNet,StoreID: uniquetshir0f-21,ACTIVE,2026-07-07
Amazon,uniquetshir0f-21,AMZ_2,Luxus,Fashion,%,6.0,%,,,Amazon PartnerNet,StoreID: uniquetshir0f-21,ACTIVE,2026-07-07
Amazon,uniquetshir0f-21,AMZ_3,Luxus Beauty Stores,Beauty,%,6.0,%,,,Amazon PartnerNet,StoreID: uniquetshir0f-21,ACTIVE,2026-07-07
Amazon,uniquetshir0f-21,AMZ_4,Luxus Fashion Stores,Fashion,%,6.0,%,,,Amazon PartnerNet,StoreID: uniquetshir0f-21,ACTIVE,2026-07-07
Amazon,uniquetshir0f-21,AMZ_5,"Schuhe, Handtaschen & Geldbörsen",Fashion,%,6.0,%,,,Amazon PartnerNet,StoreID: uniquetshir0f-21,ACTIVE,2026-07-07
Amazon,uniquetshir0f-21,AMZ_6,Uhren,Fashion,%,6.0,%,,,Amazon PartnerNet,StoreID: uniquetshir0f-21,ACTIVE,2026-07-07
Amazon,uniquetshir0f-21,AMZ_7,Amazon Instant Video,Unterhaltung,%,5.0,%,,,Amazon PartnerNet,StoreID: uniquetshir0f-21,ACTIVE,2026-07-07
Amazon,uniquetshir0f-21,AMZ_8,Audible Hörbücher,Unterhaltung,%,5.0,%,,,Amazon PartnerNet,StoreID: uniquetshir0f-21,ACTIVE,2026-07-07
Amazon,uniquetshir0f-21,AMZ_9,Auto & Motorrad,Auto,%,5.0,%,,,Amazon PartnerNet,StoreID: uniquetshir0f-21,ACTIVE,2026-07-07
Amazon,uniquetshir0f-21,AMZ_10,Bücher,Medien,%,5.0,%,,,Amazon PartnerNet,StoreID: uniquetshir0f-21,ACTIVE,2026-07-07
Amazon,uniquetshir0f-21,AMZ_11,Digitale Musik,Medien,%,5.0,%,,,Amazon PartnerNet,StoreID: uniquetshir0f-21,ACTIVE,2026-07-07
