"entity","identity_signal","url_signal","name_signal","sameAs_signal","citation_ready"
"Organization","True","True","True","True","True"
"ImageObject","True","True","True","True","True"
"WebSite","True","True","True","True","True"
"SearchAction","True","True","True","True","True"
"SiteNavigationElement","True","True","True","True","True"
"SiteNavigationElement","True","True","True","True","True"
"SiteNavigationElement","True","True","True","True","True"
"SiteNavigationElement","True","True","True","True","True"
"SiteNavigationElement","True","True","True","True","True"
"SiteNavigationElement","True","True","True","True","True"
"SiteNavigationElement","True","True","True","True","True"
"SiteNavigationElement","True","True","True","True","True"
"SiteNavigationElement","True","True","True","True","True"
"SiteNavigationElement","True","True","True","True","True"
"SiteNavigationElement","True","True","True","True","True"
"SiteNavigationElement","True","True","True","True","True"
"SiteNavigationElement","True","True","True","True","True"
"SiteNavigationElement","True","True","True","True","True"
"SiteNavigationElement","True","True","True","True","True"
"SiteNavigationElement","True","True","True","True","True"
