"page_a","page_b","word_difference","similarity_signal"
"C:\Meine Webseiten\freebasis\index.html","C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","6182","LOW"
"C:\Meine Webseiten\freebasis\index.html","C:\Meine Webseiten\freebasis\www.chefkoch.de\kochstars\thema-des-monats\märz-2023.html","2868","LOW"
"C:\Meine Webseiten\freebasis\index.html","C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\alkoholfreie+heiße+getränke\Rezepte.html","117","LOW"
"C:\Meine Webseiten\freebasis\index.html","C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\auflauf+günstig\Rezepte.html","117","LOW"
"C:\Meine Webseiten\freebasis\index.html","C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\backen+küchenmaschinen\Rezepte.html","233","LOW"
"C:\Meine Webseiten\freebasis\index.html","C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\gemüsechips\Rezepte.html","279","LOW"
"C:\Meine Webseiten\freebasis\index.html","C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\gewürzmandeln\Rezepte.html","117","LOW"
"C:\Meine Webseiten\freebasis\index.html","C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\heißluftfritteuse\Rezepte.html","320","LOW"
"C:\Meine Webseiten\freebasis\index.html","C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\hochzeit+beiträge\Rezepte.html","117","LOW"
"C:\Meine Webseiten\freebasis\index.html","C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\küchenmaschine\Rezepte.html","304","LOW"
"C:\Meine Webseiten\freebasis\index.html","C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\küchenmaschine+einfach\Rezepte.html","290","LOW"
"C:\Meine Webseiten\freebasis\index.html","C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\kürbis\Rezepte.html","326","LOW"
"C:\Meine Webseiten\freebasis\index.html","C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\leinöl\Rezepte.html","278","LOW"
"C:\Meine Webseiten\freebasis\index.html","C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\schwarz+weiß+gebäck\Rezepte.html","117","LOW"
"C:\Meine Webseiten\freebasis\index.html","C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0t11\Getränk-Rezept.html","117","LOW"
"C:\Meine Webseiten\freebasis\index.html","C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0t18\Gemüse-Rezept.html","117","LOW"
