"source","relation","target"
"Organization","HAS_PROPERTY","URL"
"Organization","SAME_AS","EXTERNAL_ENTITY"
"Organization","IDENTIFIED_BY","NAME"
"ImageObject","HAS_PROPERTY","URL"
"ImageObject","SAME_AS","EXTERNAL_ENTITY"
"ImageObject","IDENTIFIED_BY","NAME"
"WebSite","HAS_PROPERTY","URL"
"WebSite","SAME_AS","EXTERNAL_ENTITY"
"WebSite","IDENTIFIED_BY","NAME"
"SearchAction","HAS_PROPERTY","URL"
"SearchAction","SAME_AS","EXTERNAL_ENTITY"
"SearchAction","IDENTIFIED_BY","NAME"
"SiteNavigationElement","HAS_PROPERTY","URL"
"SiteNavigationElement","SAME_AS","EXTERNAL_ENTITY"
"SiteNavigationElement","IDENTIFIED_BY","NAME"
"SiteNavigationElement","HAS_PROPERTY","URL"
"SiteNavigationElement","SAME_AS","EXTERNAL_ENTITY"
"SiteNavigationElement","IDENTIFIED_BY","NAME"
"SiteNavigationElement","HAS_PROPERTY","URL"
"SiteNavigationElement","SAME_AS","EXTERNAL_ENTITY"
"SiteNavigationElement","IDENTIFIED_BY","NAME"
"SiteNavigationElement","HAS_PROPERTY","URL"
"SiteNavigationElement","SAME_AS","EXTERNAL_ENTITY"
"SiteNavigationElement","IDENTIFIED_BY","NAME"
"SiteNavigationElement","HAS_PROPERTY","URL"
"SiteNavigationElement","SAME_AS","EXTERNAL_ENTITY"
"SiteNavigationElement","IDENTIFIED_BY","NAME"
"SiteNavigationElement","HAS_PROPERTY","URL"
"SiteNavigationElement","SAME_AS","EXTERNAL_ENTITY"
"SiteNavigationElement","IDENTIFIED_BY","NAME"
"SiteNavigationElement","HAS_PROPERTY","URL"
"SiteNavigationElement","SAME_AS","EXTERNAL_ENTITY"
"SiteNavigationElement","IDENTIFIED_BY","NAME"
"SiteNavigationElement","HAS_PROPERTY","URL"
"SiteNavigationElement","SAME_AS","EXTERNAL_ENTITY"
"SiteNavigationElement","IDENTIFIED_BY","NAME"
"SiteNavigationElement","HAS_PROPERTY","URL"
"SiteNavigationElement","SAME_AS","EXTERNAL_ENTITY"
"SiteNavigationElement","IDENTIFIED_BY","NAME"
"SiteNavigationElement","HAS_PROPERTY","URL"
"SiteNavigationElement","SAME_AS","EXTERNAL_ENTITY"
"SiteNavigationElement","IDENTIFIED_BY","NAME"
"SiteNavigationElement","HAS_PROPERTY","URL"
"SiteNavigationElement","SAME_AS","EXTERNAL_ENTITY"
"SiteNavigationElement","IDENTIFIED_BY","NAME"
"SiteNavigationElement","HAS_PROPERTY","URL"
"SiteNavigationElement","SAME_AS","EXTERNAL_ENTITY"
"SiteNavigationElement","IDENTIFIED_BY","NAME"
"SiteNavigationElement","HAS_PROPERTY","URL"
"SiteNavigationElement","SAME_AS","EXTERNAL_ENTITY"
"SiteNavigationElement","IDENTIFIED_BY","NAME"
"SiteNavigationElement","HAS_PROPERTY","URL"
"SiteNavigationElement","SAME_AS","EXTERNAL_ENTITY"
"SiteNavigationElement","IDENTIFIED_BY","NAME"
"SiteNavigationElement","HAS_PROPERTY","URL"
"SiteNavigationElement","SAME_AS","EXTERNAL_ENTITY"
"SiteNavigationElement","IDENTIFIED_BY","NAME"
"SiteNavigationElement","HAS_PROPERTY","URL"
"SiteNavigationElement","SAME_AS","EXTERNAL_ENTITY"
"SiteNavigationElement","IDENTIFIED_BY","NAME"
