"keyword","entity","topic","relationship"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
,"rezept",,"CONNECTED"
,"kochen",,"CONNECTED"
,"backen",,"CONNECTED"
,"küche",,"CONNECTED"
,"magazin",,"CONNECTED"
,"ernährung",,"CONNECTED"
,"gesundheit",,"CONNECTED"
,"gemüse",,"CONNECTED"
,"fleisch",,"CONNECTED"
,"kuchen",,"CONNECTED"
,"dessert",,"CONNECTED"
