"file","title","description","canonical"
"C:\Meine Webseiten\freebasis\index.html","Local index - HTTrack Website Copier","HTTrack is an easy-to-use website mirror utility. It allows you to download a World Wide website from the Internet to a local directory,building recursively all structures, getting html, images, and other files from the server to your computer. Links are rebuiltrelatively so that you can freely browse to the local site (works with any browser). You can mirror several sites together so that you can jump from one toanother. You can, also, update an existing mirror site, or resume an interrupted download. The robot is fully configurable, with an integrated help",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","Chefkoch – 380.000 Rezepte fürs Kochen &amp; Backen","380.000 Back- und Kochrezepte zum Nachkochen - inkl. Videos, Artikel und Kochbuch. Inspiriere dich bei Chefkoch! Rezepte ✓einfach ✓lecker ✓kostenlos.","https://www.chefkoch.de/"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\kochstars\thema-des-monats\märz-2023.html","Thema des Monats – Chefkoch Kochstars","Unsere Kochstars liefern dir jeden Monat Nachschub an Premium-Rezepten, die begeistern. Freu dich auf neue Ideen mit vielen saisonalen Zutaten.","../thema-des-monats.html"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\alkoholfreie+heiße+getränke\Rezepte.html","","",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\auflauf+günstig\Rezepte.html","","",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\backen+küchenmaschinen\Rezepte.html","","",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\gemüsechips\Rezepte.html","","",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\gewürzmandeln\Rezepte.html","","",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\heißluftfritteuse\Rezepte.html","","",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\hochzeit+beiträge\Rezepte.html","","",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\küchenmaschine\Rezepte.html","","",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\küchenmaschine+einfach\Rezepte.html","","",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\kürbis\Rezepte.html","","",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\leinöl\Rezepte.html","","",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\schwarz+weiß+gebäck\Rezepte.html","","",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0t11\Getränk-Rezept.html","","",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0t18\Gemüse-Rezept.html","","",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0t211\Studentenküche-Rezept.html","","",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0t58\Geflügel-Rezept.html","","",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0t78\Frühling-Rezept.html","","",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0t83\Käse-Rezept.html","","",""
