"file","missing_elements"
"C:\Meine Webseiten\freebasis\index.html","SCHEMA,OPEN_GRAPH"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html",""
"C:\Meine Webseiten\freebasis\www.chefkoch.de\kochstars\thema-des-monats\märz-2023.html","SCHEMA"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\alkoholfreie+heiße+getränke\Rezepte.html","TITLE,DESCRIPTION,SCHEMA,OPEN_GRAPH"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\auflauf+günstig\Rezepte.html","TITLE,DESCRIPTION,SCHEMA,OPEN_GRAPH"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\backen+küchenmaschinen\Rezepte.html","TITLE,DESCRIPTION,SCHEMA,OPEN_GRAPH"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\gemüsechips\Rezepte.html","TITLE,DESCRIPTION,SCHEMA,OPEN_GRAPH"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\gewürzmandeln\Rezepte.html","TITLE,DESCRIPTION,SCHEMA,OPEN_GRAPH"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\heißluftfritteuse\Rezepte.html","TITLE,DESCRIPTION,SCHEMA,OPEN_GRAPH"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\hochzeit+beiträge\Rezepte.html","TITLE,DESCRIPTION,SCHEMA,OPEN_GRAPH"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\küchenmaschine\Rezepte.html","TITLE,DESCRIPTION,SCHEMA,OPEN_GRAPH"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\küchenmaschine+einfach\Rezepte.html","TITLE,DESCRIPTION,SCHEMA,OPEN_GRAPH"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\kürbis\Rezepte.html","TITLE,DESCRIPTION,SCHEMA,OPEN_GRAPH"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\leinöl\Rezepte.html","TITLE,DESCRIPTION,SCHEMA,OPEN_GRAPH"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0\schwarz+weiß+gebäck\Rezepte.html","TITLE,DESCRIPTION,SCHEMA,OPEN_GRAPH"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0t11\Getränk-Rezept.html","TITLE,DESCRIPTION,SCHEMA,OPEN_GRAPH"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0t18\Gemüse-Rezept.html","TITLE,DESCRIPTION,SCHEMA,OPEN_GRAPH"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0t211\Studentenküche-Rezept.html","TITLE,DESCRIPTION,SCHEMA,OPEN_GRAPH"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0t58\Geflügel-Rezept.html","TITLE,DESCRIPTION,SCHEMA,OPEN_GRAPH"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0t78\Frühling-Rezept.html","TITLE,DESCRIPTION,SCHEMA,OPEN_GRAPH"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\rs\s0t83\Käse-Rezept.html","TITLE,DESCRIPTION,SCHEMA,OPEN_GRAPH"
