"file","schema_type"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","Organization"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","ImageObject"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","WebSite"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","SearchAction"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","SiteNavigationElement"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","SiteNavigationElement"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","SiteNavigationElement"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","SiteNavigationElement"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","SiteNavigationElement"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","SiteNavigationElement"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","SiteNavigationElement"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","SiteNavigationElement"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","SiteNavigationElement"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","SiteNavigationElement"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","SiteNavigationElement"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","SiteNavigationElement"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","SiteNavigationElement"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","SiteNavigationElement"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","SiteNavigationElement"
"C:\Meine Webseiten\freebasis\www.chefkoch.de\index.html","SiteNavigationElement"
