id,path,name,mimeType,size,modifiedTime
14r3NASTY1Njt0THTj5q9cp9fPYg7aUHk,ROOT/gmail_manager,gmail_manager,application/vnd.google-apps.folder,,2026-07-25T08:34:26.577Z
1OIx_WorR5l7S1m71DeIf7CGSO0Hk4iI0,ROOT/gmail_manager/quarantine,quarantine,application/vnd.google-apps.folder,,2026-07-25T08:45:15.821Z
1H6Umwg6_XOaeIflFm1gebVGt0onKdJc2,ROOT/gmail_manager/scripts,scripts,application/vnd.google-apps.folder,,2026-07-25T08:45:15.813Z
1UneNn6ppdxJKbKDqlbjK838nhY4b98Jo,ROOT/gmail_manager/reports,reports,application/vnd.google-apps.folder,,2026-07-25T08:45:15.806Z
11bnzNTiDmbXLp3tgetUU3DA6LcdP8lHD,ROOT/gmail_manager/reports/yahoo_connection_test_latest.json,yahoo_connection_test_latest.json,application/json,1020,2026-07-25T09:25:04.332Z
17Mz5FFmLinyWddRNG8AmqK0UVHqg6fLh,ROOT/gmail_manager/reports/yahoo_connection_test_20260725_092448.json,yahoo_connection_test_20260725_092448.json,application/json,1020,2026-07-25T09:24:57.393Z
17rfguRtMWu8d-Jtr-bHU77ub-1L8ugbe,ROOT/gmail_manager/reports/yahoo_connection_test_20260725_092326.json,yahoo_connection_test_20260725_092326.json,application/json,1020,2026-07-25T09:23:35.359Z
1K4nmdJVBO1POpLsdBFENVV3C-ADOl2Er,ROOT/gmail_manager/reports/mail_manager_config_audit_latest.json,mail_manager_config_audit_latest.json,application/json,1984,2026-07-25T09:11:12.408Z
17Ru3f5X3MfRMyX1wWM_m95eEtSofmOHq,ROOT/gmail_manager/reports/mail_manager_config_audit_corrected_20260725_091101.json,mail_manager_config_audit_corrected_20260725_091101.json,application/json,1984,2026-07-25T09:11:01.958Z
1qXtyZgVvgN-rTKys2ZTSwO52mEmZGGd3,ROOT/gmail_manager/reports/mail_manager_config_audit_20260725_090939.json,mail_manager_config_audit_20260725_090939.json,application/json,2684,2026-07-25T09:09:39.469Z
1XE6RFQJjcyscJPeFag-aHUn9-WaCBb44,ROOT/gmail_manager/logs,logs,application/vnd.google-apps.folder,,2026-07-25T08:34:26.602Z
1xIiPZQR97voIsa71xx5XiQgwxizSfP8n,ROOT/gmail_manager/config,config,application/vnd.google-apps.folder,,2026-07-25T08:34:26.597Z
1-An5N5Ib7o_1g9ffoAE2-2PgoKf0vxNM,ROOT/gmail_manager/config/secret_manager_map.json,secret_manager_map.json,application/json,1161,2026-07-25T09:25:02.894Z
1ym4BL4Cpdw4hNBZio0mxXV41Qx0gC_mJ,ROOT/gmail_manager/config/label_structure.json,label_structure.json,application/json,2670,2026-07-25T09:08:02.416Z
1BNOV8v9nf7veazP_ggwIBs4J1H1kSoap,ROOT/gmail_manager/config/gmail_manager_config.json,gmail_manager_config.json,application/json,754,2026-07-25T09:08:00.896Z
1TqbSWZTLpvi6M5SoGZXmumWQMM6UI53s,ROOT/gmail_manager/config/mail_accounts.json,mail_accounts.json,application/json,1283,2026-07-25T09:07:55.474Z
1hsywxc4VeCSNzflKuruDI3ukLZ5RG1x6,ROOT/gmail_manager/config/classification_policy.json,classification_policy.json,application/json,494,2026-07-25T08:45:15.846Z
1QPo2Y5FQN5iEs8-vQ7x24A9R5q-c_yta,ROOT/gmail_manager/backups,backups,application/vnd.google-apps.folder,,2026-07-25T08:34:26.590Z
12_lhP4xy4ht9cV_mCYXRNW5DhLnCABuN,ROOT/archive_old_tests,archive_old_tests,application/vnd.google-apps.folder,,2026-07-24T14:26:59.338Z
