id,name,mimeType,size,modifiedTime
14r3NASTY1Njt0THTj5q9cp9fPYg7aUHk,gmail_manager,application/vnd.google-apps.folder,,2026-07-25T08:34:26.577Z
12_lhP4xy4ht9cV_mCYXRNW5DhLnCABuN,archive_old_tests,application/vnd.google-apps.folder,,2026-07-24T14:26:59.338Z
1f1sYsWBEi35YCt1ZkFO6ZBGaiGyiEE8_,config,application/vnd.google-apps.folder,,2026-07-17T17:11:27.243Z
1BmMP3BpIg48Ush6bfEJ42PK-xZG8b1EG,final_lock_20260709,application/vnd.google-apps.folder,,2026-07-09T01:00:34.226Z
1gsG3XSTxEXpS9869h6hP0IB1sEf68Gvj,START_HERE.md,text/markdown,682,2026-07-03T23:53:16.834Z
1GtStDMeP7wfbzsxqhxZV7H4b2Nnba9HI,ROADMAP.md,text/markdown,280,2026-07-03T23:53:11.171Z
14EJZR_ZIATbYNyQVu7aMzYYzIC-0y557,RECOVERY.md,text/markdown,442,2026-07-03T23:53:11.152Z
1gUdH_zdoBv6qY33i3zypstrbOvcYNYs9,PROJECT_STATUS.md,text/markdown,694,2026-07-03T23:53:11.135Z
1jun3rBzBofqU13RBbJLDv309Zmu204dJ,MASTER_RULES.md,text/markdown,726,2026-07-03T23:53:11.116Z
1k5NxjxHPY4Mg-2UkkZKwntXgwwUGQn0B,docs,application/vnd.google-apps.folder,,2026-07-03T23:53:11.083Z
1qP_eZkhrTCBS50xuUlVKMxIGTZqwUNw8,core,application/vnd.google-apps.folder,,2026-07-03T23:53:11.019Z
1evHUfhntXBw0HCoht0G4zfcI65D9TVyT,temp,application/vnd.google-apps.folder,,2026-07-03T23:12:08.602Z
1lTC_infRDyvcU11CFuLQKh4-1mLkS0Hf,_QUARANTINE_REVIEW,application/vnd.google-apps.folder,,2026-07-03T23:12:08.597Z
1vCwZVPkq-6ZI3OLTF_Ww2Lz1HgLR7WPN,feeds,application/vnd.google-apps.folder,,2026-07-03T23:12:08.590Z
1tDSeD99YytBXGtfUCh4ebI0OOUh7_DiF,data,application/vnd.google-apps.folder,,2026-07-03T23:12:08.585Z
1eViW3pKWAVw_88cb6CXsC2W1XGIjuSKH,github_sync,application/vnd.google-apps.folder,,2026-07-03T23:12:08.579Z
1wuBZshh5bsDpLOMoMDn2UwWAyFLxjIBC,media_library,application/vnd.google-apps.folder,,2026-07-01T16:13:48.239Z
1urekzKuMcrlUA0BGaj8xtSXgZQnepb1e,audits,application/vnd.google-apps.folder,,2026-07-01T15:29:58.669Z
1I9KKgkF4e-4w3f2e1n_UUZgYyHrwculw,__pycache__,application/vnd.google-apps.folder,,2026-06-22T15:49:11.468Z
1sg9YjDo_4eSg4-Cob5AF03V3Q6m3H0bg,master_engine.py,text/x-python,472,2026-06-22T15:48:39.070Z
1COQVVfj5_rOFrDp1Iz7LdrrE4aC7GD_S,ARCHIVE,application/vnd.google-apps.folder,,2026-06-20T23:39:36.158Z
1ElWBB7ywLq9Ai-noPpdj6BAEfRsuCBwj,indexing,application/vnd.google-apps.folder,,2026-06-20T21:39:34.876Z
1F5uklwCEvGh59wnIm-I1w06q-pP4_4Yk,landingpages,application/vnd.google-apps.folder,,2026-06-20T21:35:04.996Z
1k6dgkp8EshoYYspJ32aKyuhRhbbUURgX,videos,application/vnd.google-apps.folder,,2026-06-20T19:35:24.376Z
1lQvrPSLU7g9j7EXoEOqtuWm0VfCVqjK4,engine,application/vnd.google-apps.folder,,2026-06-20T19:31:42.131Z
1Ms30P-UiPFDvA8vTn1_gZCW7rOr7GvZs,content,application/vnd.google-apps.folder,,2026-06-10T05:36:58.022Z
1pJVq5_KHGl_0LGX4NjjrEeVJ1EUBcKkW,assets,application/vnd.google-apps.folder,,2026-06-10T05:36:57.983Z
1Sk4af2RvaYxEwpJ41CDUD38ty8h8-OPr,archive,application/vnd.google-apps.folder,,2026-06-10T05:36:37.919Z
1e3Mngd6p9JdImsCLlpoH9RLbRBPhfPrt,secrets,application/vnd.google-apps.folder,,2026-06-08T21:02:21.353Z
13bGM7nckD0g0FLHA6hnOZ-nZZlFT_K0T,backups,application/vnd.google-apps.folder,,2026-06-08T05:52:31.147Z
1dAK0WnldkDwYDuxcWosMAp7-I-sf-EF7,logs,application/vnd.google-apps.folder,,2026-06-08T05:52:20.283Z
1RQMdJ-9_QCJQR_YcaAphSDRMJiAoDKHN,bilder,application/vnd.google-apps.folder,,2026-06-08T05:51:42.619Z
